lat,lon,alt,date,device,os,version
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.1,1.1
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.2,1.1
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.3,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.1,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.1,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.2,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.2,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.3,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.3,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.1,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.2,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.3,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.1,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.2,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.3,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.1,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.2,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.3,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.1,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.2,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.3,1.1
39.9821853638,-83.0011138916,232.451156616,2013-02-26 01:48:48,"iPhone4,1",6.1.2,1.1
39.9821853638,-83.0011138916,232.451156616,2013-02-26 01:48:48,"iPhone4,1",6.1.3,1.1
39.9828071594,-83.0082550049,226.775634766,2013-02-26 14:13:20,"iPhone4,1",6.1.2,1.1
39.9828071594,-83.0082550049,226.775634766,2013-02-26 14:13:20,"iPhone4,1",6.1.3,1.1
39.9827957153,-83.008354187,226.41027832,2013-02-26 16:29:52,"iPhone4,1",6.1.2,1.1
39.9827613831,-83.0082244873,231,2013-02-26 16:29:52,"iPhone4,1",6.1.2,1.1
39.9827957153,-83.008354187,226.41027832,2013-02-26 16:29:52,"iPhone4,1",6.1.3,1.1
39.9827613831,-83.0082244873,231,2013-02-26 16:29:52,"iPhone4,1",6.1.3,1.1
39.9825248718,-83.0082778931,231,2013-02-26 16:32:00,"iPhone4,1",6.1.2,1.1
39.9825248718,-83.0082778931,231,2013-02-26 16:32:00,"iPhone4,1",6.1.3,1.1
39.9823722839,-83.0015945435,232,2013-02-26 16:51:12,"iPhone4,1",6.1.2,1.1
39.9823722839,-83.0015945435,232,2013-02-26 16:51:12,"iPhone4,1",6.1.3,1.1
39.9827079773,-83.0081558228,226.821426392,2013-02-26 17:01:52,"iPhone4,1",6.1.2,1.1
39.9827079773,-83.0081558228,226.821426392,2013-02-26 17:01:52,"iPhone4,1",6.1.3,1.1
39.9986953735,-83.0060806274,226.182327271,2013-02-26 22:21:52,"iPhone4,1",6.1.2,1.1
39.9986953735,-83.0060806274,226.182327271,2013-02-26 22:21:52,"iPhone4,1",6.1.3,1.1
39.9826469421,-83.0036621094,226.182327271,2013-02-26 22:32:32,"iPhone4,1",6.1.2,1.1
39.9826469421,-83.0036621094,226.182327271,2013-02-26 22:32:32,"iPhone4,1",6.1.3,1.1
39.9938278198,-83.0069732666,227.227844238,2013-02-26 22:56:00,"iPhone4,1",6.1.2,1.1
39.9938278198,-83.0069732666,227.227844238,2013-02-26 22:56:00,"iPhone4,1",6.1.3,1.1
39.9824485779,-83.007850647,228.189575195,2013-02-26 23:08:48,"iPhone4,1",6.1.2,1.1
39.9824485779,-83.007850647,228.189575195,2013-02-26 23:08:48,"iPhone4,1",6.1.3,1.1
39.9737663269,-82.9915008545,227.066513062,2013-02-26 23:55:44,"iPhone4,1",6.1.2,1.1
39.9737663269,-82.9915008545,227.066513062,2013-02-26 23:55:44,"iPhone4,1",6.1.3,1.1
39.9743156433,-82.9981765747,238.00050354,2013-02-27 02:03:44,"iPhone4,1",6.1.2,1.1
39.9743156433,-82.9981765747,238.00050354,2013-02-27 02:03:44,"iPhone4,1",6.1.3,1.1
39.9817428589,-83.0018005371,235.859741211,2013-02-27 02:10:08,"iPhone4,1",6.1.2,1.1
39.9817428589,-83.0018005371,235.859741211,2013-02-27 02:10:08,"iPhone4,1",6.1.3,1.1
39.9825019836,-83.0083465576,228.053329468,2013-02-27 13:34:56,"iPhone4,1",6.1.2,1.1
39.9825019836,-83.0083465576,228.053329468,2013-02-27 13:34:56,"iPhone4,1",6.1.3,1.1
39.9931755066,-82.9880142212,226.724960327,2013-02-27 17:33:52,"iPhone4,1",6.1.2,1.1
39.9931755066,-82.9880142212,226.724960327,2013-02-27 17:33:52,"iPhone4,1",6.1.3,1.1
39.9824104309,-83.0082244873,224.766998291,2013-02-27 17:48:48,"iPhone4,1",6.1.2,1.1
39.9824104309,-83.0082244873,224.766998291,2013-02-27 17:48:48,"iPhone4,1",6.1.3,1.1
39.9827957153,-83.0032653809,226.153778076,2013-02-27 20:30:56,"iPhone4,1",6.1.2,1.1
39.9827957153,-83.0032653809,226.153778076,2013-02-27 20:30:56,"iPhone4,1",6.1.3,1.1
39.9820365906,-83.0016860962,232,2013-02-28 01:23:12,"iPhone4,1",6.1.2,1.1
39.9820365906,-83.0016860962,232,2013-02-28 01:23:12,"iPhone4,1",6.1.3,1.1
39.9832000732,-83.0030975342,233.191055298,2013-02-28 12:16:00,"iPhone4,1",6.1.2,1.1
39.9822425842,-83.001121521,232.881530762,2013-02-28 12:16:00,"iPhone4,1",6.1.2,1.1
39.9832000732,-83.0030975342,233.191055298,2013-02-28 12:16:00,"iPhone4,1",6.1.3,1.1
39.9822425842,-83.001121521,232.881530762,2013-02-28 12:16:00,"iPhone4,1",6.1.3,1.1
39.9827804565,-83.0085220337,226.469055176,2013-02-28 13:22:08,"iPhone4,1",6.1.2,1.1
39.9827804565,-83.0085220337,226.469055176,2013-02-28 13:22:08,"iPhone4,1",6.1.3,1.1
39.9824981689,-83.002166748,232,2013-02-28 16:53:20,"iPhone4,1",6.1.2,1.1
39.9824981689,-83.002166748,232,2013-02-28 16:53:20,"iPhone4,1",6.1.3,1.1
39.9827804565,-83.0085372925,226.639938354,2013-02-28 17:08:16,"iPhone4,1",6.1.2,1.1
39.9827804565,-83.0085372925,226.639938354,2013-02-28 17:08:16,"iPhone4,1",6.1.3,1.1
39.9856910706,-83.0358428955,226.177490234,2013-02-28 17:27:28,"iPhone4,1",6.1.2,1.1
39.9856910706,-83.0358428955,226.177490234,2013-02-28 17:27:28,"iPhone4,1",6.1.3,1.1
39.9831848145,-83.0033035278,226.524841309,2013-02-28 17:38:08,"iPhone4,1",6.1.2,1.1
39.9831848145,-83.0033035278,226.524841309,2013-02-28 17:38:08,"iPhone4,1",6.1.3,1.1
39.9766235352,-83.0027618408,232,2013-02-28 17:53:04,"iPhone4,1",6.1.2,1.1
39.9766235352,-83.0027618408,232,2013-02-28 17:53:04,"iPhone4,1",6.1.3,1.1
39.9826164246,-83.0079650879,226.926925659,2013-02-28 18:05:52,"iPhone4,1",6.1.2,1.1
39.9826164246,-83.0079650879,226.926925659,2013-02-28 18:05:52,"iPhone4,1",6.1.3,1.1
39.974319458,-83.0028610229,227.559341431,2013-02-28 22:24:00,"iPhone4,1",6.1.2,1.1
39.974319458,-83.0028610229,227.559341431,2013-02-28 22:24:00,"iPhone4,1",6.1.3,1.1
39.9794273376,-82.9981536865,236.211456299,2013-02-28 23:04:32,"iPhone4,1",6.1.2,1.1
39.9794273376,-82.9981536865,236.211456299,2013-02-28 23:04:32,"iPhone4,1",6.1.3,1.1
